word_id,source_range,單字,詞性,定義,用法,詞性變化,三態（現在式-過去式-過去分詞）,現在分詞（V-ing）,常見搭配,相關字,同義字,反義字,範例
W001,1,police,n.,警察,題句主詞，表示警方針對高犯罪區採取行動。,,,,police in context：在語境中使用 police；learn police：學習「警察」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses police in context.：考卷在語境中使用 police。
W002,1,high-crime,adj.,高犯罪率的,修飾 neighborhoods，表示犯罪率高的地區。,,,,high-crime in context：在語境中使用 high-crime；learn high-crime：學習「高犯罪率的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses high-crime in context.：考卷在語境中使用 high-crime。
W003,1,neighborhood,n.,社區；鄰近地區,題句中 high-crime neighborhoods 指高犯罪率社區。,,,,neighborhood in context：在語境中使用 neighborhood；learn neighborhood：學習「社區；鄰近地區」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses neighborhood in context.：考卷在語境中使用 neighborhood。
W004,1,in response to,phr.,回應；因應,表示警方行動是為了回應暴力犯罪上升。,,,,in response to in context：在語境中使用 in response to；learn in response to：學習「回應；因應」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses in response to in context.：考卷在語境中使用 in response to。
W005,1,recent,adj.,最近的,修飾 rise，表示近期上升。,,,,recent in context：在語境中使用 recent；learn recent：學習「最近的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses recent in context.：考卷在語境中使用 recent。
W006,1,violent,adj.,暴力的,violent crime 指暴力犯罪。,,,,violent in context：在語境中使用 violent；learn violent：學習「暴力的」,crime：犯罪；police：警察；violence：暴力,,,The exam uses violent in context.：考卷在語境中使用 violent。
W007,1,crime,n.,犯罪,題句主題是 violent crime。,,,,crime in context：在語境中使用 crime；learn crime：學習「犯罪」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses crime in context.：考卷在語境中使用 crime。
W008,1,crack down,phr. v.,嚴厲取締；鎮壓,警方對高犯罪區加強取締。,,,,crack down in context：在語境中使用 crack down；learn crack down：學習「嚴厲取締；鎮壓」,law enforcement：執法；neighborhood：社區,suppress：鎮壓；enforce：執法,,The exam uses crack down in context.：考卷在語境中使用 crack down。
W009,1,touch down,phr. v.,降落；觸地,第1題干擾選項，常用於飛機降落。,,,,touch down in context：在語境中使用 touch down；learn touch down：學習「降落；觸地」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses touch down in context.：考卷在語境中使用 touch down。
W010,1,turn down,phr. v.,拒絕；調低,第1題干擾選項，可表示拒絕邀請或調低音量。,,,,turn down in context：在語境中使用 turn down；learn turn down：學習「拒絕；調低」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses turn down in context.：考卷在語境中使用 turn down。
W011,1,run down,phr. v.,撞倒；耗盡；貶低,第1題干擾選項，片語多義。,,,,run down in context：在語境中使用 run down；learn run down：學習「撞倒；耗盡；貶低」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses run down in context.：考卷在語境中使用 run down。
W012,2,verge,n.,邊緣；即將發生的狀態,on the verge of vomiting 指快要嘔吐。,,,,verge in context：在語境中使用 verge；learn verge：學習「邊緣；即將發生的狀態」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses verge in context.：考卷在語境中使用 verge。
W013,2,vomit,v./n.,嘔吐,題句中 vomiting 表示嘔吐。,,vomit-vomited-vomited,vomiting,vomit in context：在語境中使用 vomit；learn vomit：學習「嘔吐」,bathroom：浴室；sickness：不適,,,The exam uses vomit in context.：考卷在語境中使用 vomit。
W014,2,struggle,v./n.,掙扎；努力,Emily struggles to walk to the bathroom。,,struggle-struggled-struggled,struggling,struggle in context：在語境中使用 struggle；learn struggle：學習「掙扎；努力」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses struggle in context.：考卷在語境中使用 struggle。
W015,2,attempt,v./n.,嘗試；企圖,attempting to maintain her dignity。,,attempt-attempted-attempted,attempting,attempt in context：在語境中使用 attempt；learn attempt：學習「嘗試；企圖」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses attempt in context.：考卷在語境中使用 attempt。
W016,2,maintain,v.,維持；保持,maintain her dignity 指維持尊嚴。,,maintain-maintained-maintained,maintaining,maintain in context：在語境中使用 maintain；learn maintain：學習「維持；保持」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses maintain in context.：考卷在語境中使用 maintain。
W017,2,dignity,n.,尊嚴；體面,題句中指 Emily 想保持體面。,,,,dignity in context：在語境中使用 dignity；learn dignity：學習「尊嚴；體面」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses dignity in context.：考卷在語境中使用 dignity。
W018,2,task,n.,任務；工作,a herculean task 指艱鉅任務。,,,,task in context：在語境中使用 task；learn task：學習「任務；工作」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses task in context.：考卷在語境中使用 task。
W019,2,harmonious,adj.,和諧的,第2題干擾選項。,,,,harmonious in context：在語境中使用 harmonious；learn harmonious：學習「和諧的」,harmony：和諧；relationship：關係,peaceful：和平的,conflicting：衝突的,The exam uses harmonious in context.：考卷在語境中使用 harmonious。
